wavelength	o3_absorption
300.875	3.029530702
303.78125	1.934340618
306.03125	1.446966421
307.90625	1.026741977
310.90625	0.67310099
312.5	0.559565594
313.8125	0.503507253
314.84375	0.35727991
315.96875	0.407676039
316.90625	0.274407145
317.84375	0.313113654
318.59375	0.21075711
319.25	0.170644262
320.28125	0.228121485
321.3125	0.124324257
322.25	0.170644262
323.84375	0.075299281
324.96875	0.121086174
326	0.081503223
326.75	0.044418559
328.0625	0.095486658
329.1875	0.036926253
329.84375	0.024855098
330.59375	0.044418559
331.25	0.060967767
332.84375	0.01629425
333.6875	0.037913734
334.71875	0.018592636
335.28125	0.0104038
336.03125	0.00778247
337.53125	0.027622358
338.28125	0.01218877
339.03125	0.005378473
340.53125	0.012514722
341.1875	0.005101952
341.65625	0.003009609
342.875	0.002192675
344.1875	0.0104038
345.40625	0.002637567
346.8125	0.001437451
347.46875	0.003172727
348.6875	0.001163865
349.25	0.000723767
350.9375	0.000783399
351.40625	0.002854877
352.8125	0.00101999
353.65625	0.000415826
354.125	0.000287377
355.34375	0.00047448
356.09375	0.000251852
356.65625	0.000203918
357.125	0.000345686
357.875	0.000203918
358.53125	0.000137257
359.5625	0.000487168
360.6875	0.000251852
361.34375	0.00012681
362.375	6.21865E-05
364.15625	5.03507E-05
365.1875	0.000102674
366.40625	5.59566E-05
366.875	2.97016E-05
367.71875	2.28121E-05
368.65625	6.05668E-05
369.59375	3.97058E-05
370.4375	2.28121E-05
371.375	1.34567E-05
372.5	9.54867E-06
373.34375	1.79893E-05
374.375	2.40485E-05
375.5	1.89643E-05
376.8125	1.38166E-05
378.125	1.24324E-05
379.71875	1.57655E-05
382.25	2.16393E-05
383.5625	2.16393E-05
384.875	1.89643E-05
386.5625	2.34222E-05
388.0625	3.47974E-05
390.125	3.5728E-05
391.71875	4.07676E-05
393.21875	5.03507E-05
394.625	6.73101E-05
395.5625	7.48041E-05
397.0625	6.73101E-05
399.03125	6.73101E-05